datetime,datetime_nano,KQ.m@CFFEX.IF.open,KQ.m@CFFEX.IF.high,KQ.m@CFFEX.IF.low,KQ.m@CFFEX.IF.close,KQ.m@CFFEX.IF.volume,KQ.m@CFFEX.IF.open_oi,KQ.m@CFFEX.IF.close_oi
2019-01-02 09:00:00.000000000,1546390800000000000,3012.3999,3015.0,2970.0,2973.3999,11671,49677,45516
2019-01-02 10:00:00.000000000,1546394400000000000,2973.3999,2976.6001,2960.6001,2971.2,11386,45516,44561
2019-01-02 11:00:00.000000000,1546398000000000000,2971.2,2974.0,2962.0,2968.0,3599,44561,44699
2019-01-02 13:00:00.000000000,1546405200000000000,2966.3999,2967.6001,2950.6001,2953.3999,7406,44699,45592
2019-01-02 14:00:00.000000000,1546408800000000000,2953.3999,2973.8,2948.8,2962.2,11902,45592,49924
2019-01-03 09:00:00.000000000,1546477200000000000,2960.0,2988.3999,2955.2,2983.2,12467,49924,45025
2019-01-03 10:00:00.000000000,1546480800000000000,2983.2,3006.0,2964.3999,2966.3999,16600,45025,44275
2019-01-03 11:00:00.000000000,1546484400000000000,2966.3999,2969.6001,2953.0,2964.3999,5810,44275,45380
2019-01-03 13:00:00.000000000,1546491600000000000,2966.2,2973.0,2956.0,2969.8,7945,45380,47534
2019-01-03 14:00:00.000000000,1546495200000000000,2969.8,2971.2,2951.6001,2962.6001,9267,47534,51597
2019-01-04 09:00:00.000000000,1546563600000000000,2946.8,2981.6001,2942.2,2970.8,15994,51597,45245
2019-01-04 10:00:00.000000000,1546567200000000000,2970.8,3004.8,2962.0,3004.6001,17319,45245,44413
2019-01-04 11:00:00.000000000,1546570800000000000,3004.6001,3034.0,2998.0,3031.8,9514,44413,46318
2019-01-04 13:00:00.000000000,1546578000000000000,3032.3999,3034.8,3012.6001,3019.6001,10276,46318,48400
2019-01-04 14:00:00.000000000,1546581600000000000,3019.6001,3041.3999,3010.6001,3041.3999,11734,48400,52650
2019-01-07 09:00:00.000000000,1546822800000000000,3051.2,3059.6001,3033.8,3049.2,14684,52650,46663
