datetime,datetime_nano,KQ.m@CFFEX.T.open,KQ.m@CFFEX.T.high,KQ.m@CFFEX.T.low,KQ.m@CFFEX.T.close,KQ.m@CFFEX.T.volume,KQ.m@CFFEX.T.open_oi,KQ.m@CFFEX.T.close_oi
2019-01-02 09:00:00.000000000,1546390800000000000,97.845,97.975,97.75,97.93,9867,62521,63436
2019-01-02 10:00:00.000000000,1546394400000000000,97.93,97.94,97.875,97.925,4359,63436,63727
2019-01-02 11:00:00.000000000,1546398000000000000,97.925,97.995,97.925,97.975,2922,63727,64103
2019-01-02 13:00:00.000000000,1546405200000000000,97.985,98.01,97.915,97.97,4972,64103,64274
2019-01-02 14:00:00.000000000,1546408800000000000,97.97,98.165,97.935,98.11,9151,64274,65192
2019-01-02 15:00:00.000000000,1546412400000000000,98.11,98.115,98.075,98.105,2435,65192,64530
2019-01-03 09:00:00.000000000,1546477200000000000,98.23,98.255,98.0,98.045,9763,64530,64045
2019-01-03 10:00:00.000000000,1546480800000000000,98.045,98.135,97.98,98.115,7570,64045,63719
2019-01-03 11:00:00.000000000,1546484400000000000,98.115,98.14,98.055,98.095,2819,63719,63848
2019-01-03 13:00:00.000000000,1546491600000000000,98.095,98.185,98.08,98.155,5005,63848,64429
2019-01-03 14:00:00.000000000,1546495200000000000,98.155,98.17,98.03,98.15,7300,64429,64560
2019-01-03 15:00:00.000000000,1546498800000000000,98.15,98.18,98.14,98.16,1996,64560,64247
2019-01-04 09:00:00.000000000,1546563600000000000,98.3,98.37,98.12,98.16,13016,64247,64420
2019-01-04 10:00:00.000000000,1546567200000000000,98.16,98.2,98.02,98.07,11086,64420,64631
2019-01-04 11:00:00.000000000,1546570800000000000,98.07,98.08,97.965,97.965,6121,64631,63695
2019-01-04 13:00:00.000000000,1546578000000000000,98.055,98.25,97.83,97.915,21160,63695,63432
2019-01-04 14:00:00.000000000,1546581600000000000,97.915,97.945,97.8,97.905,9504,63432,62628
2019-01-04 15:00:00.000000000,1546585200000000000,97.905,97.955,97.85,97.945,3041,62628,62102
2019-01-07 09:00:00.000000000,1546822800000000000,97.84,97.98,97.755,97.915,12445,62102,63229
2019-01-07 10:00:00.000000000,1546826400000000000,97.915,98.015,97.865,98.01,9769,63229,63986
