datetime,datetime_nano,KQ.m@CZCE.CF.open,KQ.m@CZCE.CF.high,KQ.m@CZCE.CF.low,KQ.m@CZCE.CF.close,KQ.m@CZCE.CF.volume,KQ.m@CZCE.CF.open_oi,KQ.m@CZCE.CF.close_oi
2019-01-02 09:00:00.000000000,1546390800000000000,14865.0,14960.0,14835.0,14915.0,18442,181285,179054
2019-01-02 10:00:00.000000000,1546394400000000000,14915.0,14925.0,14870.0,14880.0,5570,179054,179824
2019-01-02 11:00:00.000000000,1546398000000000000,14880.0,14890.0,14860.0,14880.0,2879,179824,180415
2019-01-02 13:00:00.000000000,1546405200000000000,14880.0,14895.0,14870.0,14880.0,2366,180415,180342
2019-01-02 14:00:00.000000000,1546408800000000000,14880.0,14920.0,14870.0,14890.0,7035,180342,180354
2019-01-02 21:00:00.000000000,1546434000000000000,14885.0,14890.0,14780.0,14810.0,15225,180354,182566
2019-01-02 22:00:00.000000000,1546437600000000000,14810.0,14825.0,14790.0,14800.0,6584,182566,182926
2019-01-02 23:00:00.000000000,1546441200000000000,14800.0,14820.0,14780.0,14810.0,4239,182926,183213
2019-01-03 09:00:00.000000000,1546477200000000000,14780.0,14800.0,14750.0,14800.0,12478,183213,185320
2019-01-03 10:00:00.000000000,1546480800000000000,14800.0,14850.0,14780.0,14845.0,6757,185320,185315
2019-01-03 11:00:00.000000000,1546484400000000000,14845.0,14850.0,14825.0,14835.0,2599,185315,184910
2019-01-03 13:00:00.000000000,1546491600000000000,14835.0,14835.0,14790.0,14820.0,4582,184910,184394
2019-01-03 14:00:00.000000000,1546495200000000000,14820.0,14870.0,14805.0,14865.0,8567,184394,182836
2019-01-03 21:00:00.000000000,1546520400000000000,14880.0,14955.0,14860.0,14950.0,22693,182836,184604
2019-01-03 22:00:00.000000000,1546524000000000000,14950.0,14955.0,14865.0,14870.0,11042,184604,184368
2019-01-03 23:00:00.000000000,1546527600000000000,14870.0,14875.0,14855.0,14875.0,3410,184368,184054
2019-01-04 09:00:00.000000000,1546563600000000000,14865.0,14940.0,14865.0,14935.0,11763,184054,184272
2019-01-04 10:00:00.000000000,1546567200000000000,14935.0,14940.0,14870.0,14900.0,7863,184272,184314
2019-01-04 11:00:00.000000000,1546570800000000000,14900.0,14935.0,14890.0,14930.0,4605,184314,184389
2019-01-04 13:00:00.000000000,1546578000000000000,14935.0,14995.0,14930.0,14950.0,13402,184389,185463
2019-01-04 14:00:00.000000000,1546581600000000000,14950.0,14970.0,14900.0,14955.0,13602,185463,185466
2019-01-04 21:00:00.000000000,1546606800000000000,15000.0,15010.0,14955.0,14960.0,15552,185466,184696
2019-01-04 22:00:00.000000000,1546610400000000000,14960.0,14985.0,14940.0,14950.0,6925,184696,185007
2019-01-04 23:00:00.000000000,1546614000000000000,14950.0,14980.0,14950.0,14965.0,2634,185007,184663
2019-01-07 09:00:00.000000000,1546822800000000000,14985.0,15090.0,14980.0,15060.0,30389,184663,183481
2019-01-07 10:00:00.000000000,1546826400000000000,15060.0,15075.0,15045.0,15060.0,4728,183481,183175
2019-01-07 11:00:00.000000000,1546830000000000000,15060.0,15075.0,15040.0,15045.0,3378,183175,182598
2019-01-07 13:00:00.000000000,1546837200000000000,15045.0,15055.0,15040.0,15050.0,1696,182598,182615
2019-01-07 14:00:00.000000000,1546840800000000000,15050.0,15070.0,15030.0,15050.0,7086,182615,182996
2019-01-07 21:00:00.000000000,1546866000000000000,15070.0,15090.0,15015.0,15035.0,10677,182996,183936
2019-01-07 22:00:00.000000000,1546869600000000000,15035.0,15045.0,15010.0,15035.0,4999,183936,183718
2019-01-07 23:00:00.000000000,1546873200000000000,15035.0,15050.0,15030.0,15050.0,1954,183718,183472
2019-01-08 09:00:00.000000000,1546909200000000000,15030.0,15045.0,14960.0,14970.0,17785,183472,184454
2019-01-08 10:00:00.000000000,1546912800000000000,14970.0,15000.0,14965.0,15000.0,3328,184454,184511
2019-01-08 11:00:00.000000000,1546916400000000000,15000.0,15010.0,14980.0,14985.0,3329,184511,185208
2019-01-08 13:00:00.000000000,1546923600000000000,14985.0,15010.0,14980.0,15005.0,3334,185208,185344
2019-01-08 14:00:00.000000000,1546927200000000000,15005.0,15090.0,15005.0,15055.0,20311,185344,186249
2019-01-08 21:00:00.000000000,1546952400000000000,15080.0,15130.0,15050.0,15100.0,21938,186249,188421
2019-01-08 22:00:00.000000000,1546956000000000000,15100.0,15125.0,15075.0,15080.0,7921,188421,188572
2019-01-08 23:00:00.000000000,1546959600000000000,15080.0,15085.0,15045.0,15070.0,7335,188572,188330
2019-01-09 09:00:00.000000000,1546995600000000000,15025.0,15090.0,14995.0,15085.0,17232,188330,188498
2019-01-09 10:00:00.000000000,1546999200000000000,15085.0,15095.0,15060.0,15095.0,5162,188498,188429
2019-01-09 11:00:00.000000000,1547002800000000000,15095.0,15125.0,15075.0,15110.0,6235,188429,189112
2019-01-09 13:00:00.000000000,1547010000000000000,15115.0,15140.0,15110.0,15120.0,5576,189112,189333
2019-01-09 14:00:00.000000000,1547013600000000000,15120.0,15150.0,15090.0,15145.0,11636,189333,189501
2019-01-09 21:00:00.000000000,1547038800000000000,15135.0,15180.0,15120.0,15165.0,20414,189501,191743
2019-01-09 22:00:00.000000000,1547042400000000000,15165.0,15170.0,15125.0,15140.0,6604,191743,191090
2019-01-09 23:00:00.000000000,1547046000000000000,15140.0,15150.0,15135.0,15140.0,1873,191090,190814
2019-01-10 09:00:00.000000000,1547082000000000000,15145.0,15155.0,15105.0,15120.0,10138,190814,189981
2019-01-10 10:00:00.000000000,1547085600000000000,15120.0,15140.0,15120.0,15135.0,3210,189981,189959
