datetime,datetime_nano,KQ.m@DCE.l.open,KQ.m@DCE.l.high,KQ.m@DCE.l.low,KQ.m@DCE.l.close,KQ.m@DCE.l.volume,KQ.m@DCE.l.open_oi,KQ.m@DCE.l.close_oi
2019-01-02 09:00:00.000000000,1546390800000000000,8615.0,8625.0,8530.0,8540.0,56506,240376,246005
2019-01-02 10:00:00.000000000,1546394400000000000,8540.0,8545.0,8525.0,8530.0,15151,246005,246536
2019-01-02 11:00:00.000000000,1546398000000000000,8530.0,8540.0,8505.0,8525.0,12726,246536,247404
2019-01-02 13:00:00.000000000,1546405200000000000,8525.0,8535.0,8460.0,8475.0,25152,247404,250940
2019-01-02 14:00:00.000000000,1546408800000000000,8475.0,8505.0,8475.0,8490.0,20657,250940,249252
2019-01-03 09:00:00.000000000,1546477200000000000,8550.0,8555.0,8480.0,8505.0,38977,249252,251376
2019-01-03 10:00:00.000000000,1546480800000000000,8505.0,8515.0,8490.0,8510.0,12384,251376,252055
2019-01-03 11:00:00.000000000,1546484400000000000,8510.0,8510.0,8450.0,8470.0,23670,252055,254895
2019-01-03 13:00:00.000000000,1546491600000000000,8470.0,8515.0,8460.0,8495.0,16269,254895,252186
2019-01-03 14:00:00.000000000,1546495200000000000,8495.0,8510.0,8480.0,8480.0,21840,252186,249789
2019-01-04 09:00:00.000000000,1546563600000000000,8500.0,8520.0,8480.0,8500.0,34209,249789,249219
2019-01-04 10:00:00.000000000,1546567200000000000,8500.0,8505.0,8470.0,8485.0,18388,249219,249610
2019-01-04 11:00:00.000000000,1546570800000000000,8485.0,8530.0,8475.0,8530.0,15423,249610,247579
2019-01-04 13:00:00.000000000,1546578000000000000,8530.0,8600.0,8530.0,8595.0,45219,247579,241867
2019-01-04 14:00:00.000000000,1546581600000000000,8595.0,8650.0,8575.0,8645.0,61232,241867,235441
2019-01-07 09:00:00.000000000,1546822800000000000,8655.0,8675.0,8620.0,8640.0,73555,235441,240245
2019-01-07 10:00:00.000000000,1546826400000000000,8640.0,8665.0,8635.0,8655.0,13404,240245,239894
2019-01-07 11:00:00.000000000,1546830000000000000,8655.0,8660.0,8635.0,8660.0,7150,239894,239466
2019-01-07 13:00:00.000000000,1546837200000000000,8655.0,8670.0,8650.0,8670.0,11054,239466,240699
2019-01-07 14:00:00.000000000,1546840800000000000,8670.0,8685.0,8645.0,8655.0,26806,240699,238535
2019-01-08 09:00:00.000000000,1546909200000000000,8665.0,8675.0,8595.0,8620.0,54352,238535,243401
2019-01-08 10:00:00.000000000,1546912800000000000,8620.0,8650.0,8605.0,8630.0,18030,243401,243380
2019-01-08 11:00:00.000000000,1546916400000000000,8630.0,8635.0,8605.0,8625.0,8978,243380,243489
2019-01-08 13:00:00.000000000,1546923600000000000,8625.0,8625.0,8610.0,8625.0,7846,243489,243874
2019-01-08 14:00:00.000000000,1546927200000000000,8625.0,8640.0,8585.0,8595.0,23646,243874,242861
