datetime,datetime_nano,KQ.m@DCE.lh.open,KQ.m@DCE.lh.high,KQ.m@DCE.lh.low,KQ.m@DCE.lh.close,KQ.m@DCE.lh.volume,KQ.m@DCE.lh.open_oi,KQ.m@DCE.lh.close_oi
2021-01-08 09:00:00.000000000,1610067600000000000,29050.0,30680.0,27900.0,28405.0,48600,0,15387
2021-01-08 10:00:00.000000000,1610071200000000000,28405.0,28450.0,28000.0,28220.0,6418,15387,15745
2021-01-08 11:00:00.000000000,1610074800000000000,28220.0,28240.0,27360.0,27610.0,6905,15745,15720
2021-01-08 13:00:00.000000000,1610082000000000000,27600.0,27615.0,26385.0,27195.0,16476,15720,15766
2021-01-08 14:00:00.000000000,1610085600000000000,27195.0,27280.0,26570.0,26810.0,12657,15766,14984
2021-01-11 09:00:00.000000000,1610326800000000000,26260.0,26720.0,26060.0,26325.0,13700,14984,16463
2021-01-11 10:00:00.000000000,1610330400000000000,26325.0,26345.0,26030.0,26065.0,7959,16463,17367
2021-01-11 11:00:00.000000000,1610334000000000000,26065.0,26100.0,26030.0,26030.0,1059,17367,17735
2021-01-11 13:00:00.000000000,1610341200000000000,26030.0,26030.0,26030.0,26030.0,142,17735,17718
2021-01-11 14:00:00.000000000,1610344800000000000,26030.0,26030.0,26030.0,26030.0,166,17718,17600
2021-01-12 09:00:00.000000000,1610413200000000000,25745.0,26130.0,25205.0,25565.0,18927,17600,17542
2021-01-12 10:00:00.000000000,1610416800000000000,25565.0,26200.0,25560.0,26040.0,7163,17542,17181
2021-01-12 11:00:00.000000000,1610420400000000000,26040.0,26160.0,25830.0,25915.0,2959,17181,17106
2021-01-12 13:00:00.000000000,1610427600000000000,25915.0,26210.0,25850.0,25900.0,3537,17106,17100
2021-01-12 14:00:00.000000000,1610431200000000000,25900.0,26125.0,25545.0,25560.0,6816,17100,17194
2021-01-13 09:00:00.000000000,1610499600000000000,25865.0,26350.0,25715.0,26015.0,8971,17194,17779
2021-01-13 10:00:00.000000000,1610503200000000000,26015.0,26025.0,25765.0,25895.0,2312,17779,17752
2021-01-13 11:00:00.000000000,1610506800000000000,25895.0,26085.0,25880.0,26045.0,1450,17752,17559
2021-01-13 13:00:00.000000000,1610514000000000000,26030.0,26080.0,25855.0,25855.0,1387,17559,17586
2021-01-13 14:00:00.000000000,1610517600000000000,25855.0,25945.0,25820.0,25870.0,2350,17586,17050
2021-01-14 09:00:00.000000000,1610586000000000000,25855.0,26155.0,25800.0,26040.0,4663,17050,16826
2021-01-14 10:00:00.000000000,1610589600000000000,26040.0,26050.0,25825.0,25995.0,1492,16826,16620
2021-01-14 11:00:00.000000000,1610593200000000000,25995.0,26000.0,25875.0,25955.0,647,16620,16601
2021-01-14 13:00:00.000000000,1610600400000000000,25955.0,25955.0,25435.0,25490.0,5524,16601,17612
2021-01-14 14:00:00.000000000,1610604000000000000,25490.0,25500.0,24860.0,24890.0,11890,17612,18719
2021-01-15 09:00:00.000000000,1610672400000000000,25155.0,25155.0,24900.0,25000.0,4965,18719,18574
2021-01-15 10:00:00.000000000,1610676000000000000,25000.0,25105.0,24680.0,24860.0,3357,18574,18468
2021-01-15 11:00:00.000000000,1610679600000000000,24860.0,24860.0,24580.0,24705.0,2439,18468,18639
2021-01-15 13:00:00.000000000,1610686800000000000,24700.0,24700.0,24460.0,24575.0,3254,18639,19217
2021-01-15 14:00:00.000000000,1610690400000000000,24575.0,25065.0,24555.0,24725.0,6242,19217,18594
2021-01-18 09:00:00.000000000,1610931600000000000,24845.0,25780.0,24805.0,25270.0,12121,18594,17827
2021-01-18 10:00:00.000000000,1610935200000000000,25270.0,25485.0,25270.0,25375.0,1550,17827,18185
2021-01-18 11:00:00.000000000,1610938800000000000,25375.0,25420.0,25115.0,25300.0,1365,18185,18239
2021-01-18 13:00:00.000000000,1610946000000000000,25300.0,25430.0,25210.0,25255.0,1049,18239,18365
2021-01-18 14:00:00.000000000,1610949600000000000,25255.0,25315.0,24950.0,25140.0,3770,18365,18535
2021-01-19 09:00:00.000000000,1611018000000000000,25185.0,25390.0,24880.0,24930.0,4419,18535,18471
2021-01-19 10:00:00.000000000,1611021600000000000,24930.0,25045.0,24915.0,24970.0,954,18471,18393
2021-01-19 11:00:00.000000000,1611025200000000000,24970.0,25155.0,24955.0,25040.0,1047,18393,18295
2021-01-19 13:00:00.000000000,1611032400000000000,25045.0,25105.0,24980.0,24985.0,752,18295,18214
2021-01-19 14:00:00.000000000,1611036000000000000,24985.0,25065.0,24920.0,25025.0,1644,18214,17800
2021-01-20 09:00:00.000000000,1611104400000000000,24980.0,25015.0,24500.0,24785.0,3548,17800,18032
2021-01-20 10:00:00.000000000,1611108000000000000,24785.0,24855.0,24750.0,24840.0,674,18032,17985
2021-01-20 11:00:00.000000000,1611111600000000000,24840.0,25090.0,24835.0,24890.0,1502,17985,17896
2021-01-20 13:00:00.000000000,1611118800000000000,24890.0,25000.0,24885.0,24930.0,646,17896,17857
2021-01-20 14:00:00.000000000,1611122400000000000,24930.0,25025.0,24895.0,24910.0,1462,17857,17573
