datetime,datetime_nano,KQ.m@DCE.v.open,KQ.m@DCE.v.high,KQ.m@DCE.v.low,KQ.m@DCE.v.close,KQ.m@DCE.v.volume,KQ.m@DCE.v.open_oi,KQ.m@DCE.v.close_oi
2019-01-02 09:00:00.000000000,1546390800000000000,6465.0,6470.0,6405.0,6410.0,38431,126881,129751
2019-01-02 10:00:00.000000000,1546394400000000000,6410.0,6410.0,6370.0,6370.0,25384,129751,130898
2019-01-02 11:00:00.000000000,1546398000000000000,6370.0,6390.0,6360.0,6380.0,8995,130898,130457
2019-01-02 13:00:00.000000000,1546405200000000000,6380.0,6390.0,6325.0,6335.0,33634,130457,132536
2019-01-02 14:00:00.000000000,1546408800000000000,6335.0,6355.0,6335.0,6345.0,22234,132536,130805
2019-01-03 09:00:00.000000000,1546477200000000000,6365.0,6380.0,6345.0,6370.0,37768,130805,131540
2019-01-03 10:00:00.000000000,1546480800000000000,6370.0,6375.0,6350.0,6370.0,10765,131540,132698
2019-01-03 11:00:00.000000000,1546484400000000000,6370.0,6370.0,6340.0,6360.0,11112,132698,132532
2019-01-03 13:00:00.000000000,1546491600000000000,6355.0,6365.0,6340.0,6360.0,8511,132532,133374
2019-01-03 14:00:00.000000000,1546495200000000000,6360.0,6365.0,6320.0,6320.0,34471,133374,131975
2019-01-04 09:00:00.000000000,1546563600000000000,6335.0,6350.0,6325.0,6330.0,34362,131975,134083
2019-01-04 10:00:00.000000000,1546567200000000000,6330.0,6335.0,6300.0,6315.0,24908,134083,135096
2019-01-04 11:00:00.000000000,1546570800000000000,6315.0,6360.0,6310.0,6360.0,15918,135096,134479
2019-01-04 13:00:00.000000000,1546578000000000000,6360.0,6375.0,6355.0,6375.0,20391,134479,134587
2019-01-04 14:00:00.000000000,1546581600000000000,6375.0,6440.0,6365.0,6405.0,58447,134587,123834
2019-01-07 09:00:00.000000000,1546822800000000000,6400.0,6415.0,6380.0,6415.0,39072,123834,125306
2019-01-07 10:00:00.000000000,1546826400000000000,6415.0,6445.0,6405.0,6435.0,16770,125306,128292
2019-01-07 11:00:00.000000000,1546830000000000000,6435.0,6450.0,6435.0,6440.0,9706,128292,130338
2019-01-07 13:00:00.000000000,1546837200000000000,6445.0,6450.0,6420.0,6450.0,10454,130338,132515
2019-01-07 14:00:00.000000000,1546840800000000000,6450.0,6455.0,6425.0,6440.0,18809,132515,130648
2019-01-08 09:00:00.000000000,1546909200000000000,6430.0,6455.0,6390.0,6420.0,38295,130648,128889
2019-01-08 10:00:00.000000000,1546912800000000000,6420.0,6440.0,6410.0,6435.0,12397,128889,128270
2019-01-08 11:00:00.000000000,1546916400000000000,6435.0,6445.0,6430.0,6445.0,5332,128270,128137
2019-01-08 13:00:00.000000000,1546923600000000000,6445.0,6445.0,6405.0,6415.0,9964,128137,126087
2019-01-08 14:00:00.000000000,1546927200000000000,6415.0,6430.0,6410.0,6415.0,12322,126087,124987
2019-01-09 09:00:00.000000000,1546995600000000000,6440.0,6470.0,6425.0,6460.0,44373,124987,130317
2019-01-09 10:00:00.000000000,1546999200000000000,6460.0,6470.0,6435.0,6445.0,13819,130317,130915
2019-01-09 11:00:00.000000000,1547002800000000000,6445.0,6455.0,6430.0,6435.0,6349,130915,130539
2019-01-09 13:00:00.000000000,1547010000000000000,6435.0,6440.0,6405.0,6420.0,15169,130539,130893
2019-01-09 14:00:00.000000000,1547013600000000000,6420.0,6420.0,6390.0,6390.0,30740,130893,127095
2019-01-10 09:00:00.000000000,1547082000000000000,6405.0,6415.0,6355.0,6375.0,43458,127095,128486
2019-01-10 10:00:00.000000000,1547085600000000000,6375.0,6405.0,6365.0,6375.0,17824,128486,127299
2019-01-10 11:00:00.000000000,1547089200000000000,6375.0,6390.0,6370.0,6385.0,4894,127299,127880
2019-01-10 13:00:00.000000000,1547096400000000000,6385.0,6400.0,6375.0,6385.0,8053,127880,128282
2019-01-10 14:00:00.000000000,1547100000000000000,6385.0,6385.0,6350.0,6355.0,21329,128282,127028
2019-01-11 09:00:00.000000000,1547168400000000000,6355.0,6375.0,6340.0,6360.0,29155,127028,128390
2019-01-11 10:00:00.000000000,1547172000000000000,6360.0,6375.0,6355.0,6365.0,15349,128390,129384
2019-01-11 11:00:00.000000000,1547175600000000000,6365.0,6380.0,6360.0,6375.0,9079,129384,129219
2019-01-11 13:00:00.000000000,1547182800000000000,6375.0,6385.0,6370.0,6370.0,8745,129219,130308
2019-01-11 14:00:00.000000000,1547186400000000000,6370.0,6385.0,6360.0,6380.0,16419,130308,125702
2019-01-14 09:00:00.000000000,1547427600000000000,6375.0,6420.0,6365.0,6395.0,40920,125702,127512
2019-01-14 10:00:00.000000000,1547431200000000000,6395.0,6400.0,6380.0,6380.0,10489,127512,126401
2019-01-14 11:00:00.000000000,1547434800000000000,6380.0,6385.0,6370.0,6375.0,8209,126401,126224
2019-01-14 13:00:00.000000000,1547442000000000000,6380.0,6390.0,6370.0,6385.0,5868,126224,126087
2019-01-14 14:00:00.000000000,1547445600000000000,6385.0,6390.0,6360.0,6360.0,16372,126087,125355
2019-01-15 09:00:00.000000000,1547514000000000000,6365.0,6375.0,6345.0,6360.0,25937,125355,128579
2019-01-15 10:00:00.000000000,1547517600000000000,6360.0,6370.0,6350.0,6365.0,14472,128579,128391
2019-01-15 11:00:00.000000000,1547521200000000000,6365.0,6380.0,6355.0,6365.0,13069,128391,128686
2019-01-15 13:00:00.000000000,1547528400000000000,6365.0,6370.0,6340.0,6370.0,16475,128686,131334
2019-01-15 14:00:00.000000000,1547532000000000000,6370.0,6370.0,6340.0,6350.0,18863,131334,130792
2019-01-16 09:00:00.000000000,1547600400000000000,6365.0,6380.0,6340.0,6370.0,36479,130792,131208
2019-01-16 10:00:00.000000000,1547604000000000000,6370.0,6430.0,6370.0,6425.0,23990,131208,133352
2019-01-16 11:00:00.000000000,1547607600000000000,6425.0,6430.0,6410.0,6415.0,16547,133352,132331
2019-01-16 13:00:00.000000000,1547614800000000000,6415.0,6420.0,6400.0,6410.0,8798,132331,130808
2019-01-16 14:00:00.000000000,1547618400000000000,6410.0,6440.0,6400.0,6435.0,32666,130808,133327
2019-01-17 09:00:00.000000000,1547686800000000000,6440.0,6455.0,6425.0,6450.0,29805,133327,137327
2019-01-17 10:00:00.000000000,1547690400000000000,6450.0,6480.0,6450.0,6475.0,24944,137327,142023
2019-01-17 11:00:00.000000000,1547694000000000000,6475.0,6480.0,6460.0,6475.0,7624,142023,142183
2019-01-17 13:00:00.000000000,1547701200000000000,6475.0,6475.0,6450.0,6460.0,10334,142183,141478
2019-01-17 14:00:00.000000000,1547704800000000000,6460.0,6480.0,6455.0,6470.0,14641,141478,139866
2019-01-18 09:00:00.000000000,1547773200000000000,6490.0,6520.0,6455.0,6480.0,41395,139866,142457
2019-01-18 10:00:00.000000000,1547776800000000000,6480.0,6490.0,6470.0,6475.0,10007,142457,141394
2019-01-18 11:00:00.000000000,1547780400000000000,6475.0,6485.0,6465.0,6470.0,11179,141394,139375
2019-01-18 13:00:00.000000000,1547787600000000000,6470.0,6475.0,6465.0,6470.0,5112,139375,139607
2019-01-18 14:00:00.000000000,1547791200000000000,6470.0,6520.0,6470.0,6505.0,35959,139607,144899
2019-01-21 09:00:00.000000000,1548032400000000000,6530.0,6565.0,6495.0,6505.0,48444,144899,145576
2019-01-21 10:00:00.000000000,1548036000000000000,6505.0,6520.0,6480.0,6500.0,21988,145576,147832
2019-01-21 11:00:00.000000000,1548039600000000000,6500.0,6520.0,6490.0,6505.0,12757,147832,149495
2019-01-21 13:00:00.000000000,1548046800000000000,6505.0,6505.0,6470.0,6490.0,16097,149495,149469
2019-01-21 14:00:00.000000000,1548050400000000000,6490.0,6510.0,6485.0,6500.0,23448,149469,149297
2019-01-22 09:00:00.000000000,1548118800000000000,6505.0,6585.0,6480.0,6540.0,75049,149297,154437
2019-01-22 10:00:00.000000000,1548122400000000000,6540.0,6545.0,6505.0,6525.0,26695,154437,153520
2019-01-22 11:00:00.000000000,1548126000000000000,6525.0,6545.0,6515.0,6525.0,15789,153520,156604
2019-01-22 13:00:00.000000000,1548133200000000000,6525.0,6545.0,6510.0,6535.0,17424,156604,159487
2019-01-22 14:00:00.000000000,1548136800000000000,6535.0,6550.0,6525.0,6545.0,26588,159487,162744
2019-01-23 09:00:00.000000000,1548205200000000000,6525.0,6530.0,6495.0,6520.0,35924,162744,165047
2019-01-23 10:00:00.000000000,1548208800000000000,6520.0,6520.0,6500.0,6505.0,12777,165047,164487
2019-01-23 11:00:00.000000000,1548212400000000000,6505.0,6515.0,6500.0,6510.0,7094,164487,164006
2019-01-23 13:00:00.000000000,1548219600000000000,6510.0,6525.0,6505.0,6510.0,8117,164006,163603
2019-01-23 14:00:00.000000000,1548223200000000000,6510.0,6550.0,6510.0,6545.0,21928,163603,170542
2019-01-24 09:00:00.000000000,1548291600000000000,6535.0,6565.0,6510.0,6515.0,30242,170542,169920
2019-01-24 10:00:00.000000000,1548295200000000000,6515.0,6515.0,6485.0,6490.0,27047,169920,166864
2019-01-24 11:00:00.000000000,1548298800000000000,6490.0,6500.0,6480.0,6485.0,8927,166864,165572
2019-01-24 13:00:00.000000000,1548306000000000000,6485.0,6490.0,6470.0,6475.0,9046,165572,164135
2019-01-24 14:00:00.000000000,1548309600000000000,6475.0,6515.0,6470.0,6505.0,15902,164135,163222
2019-01-25 09:00:00.000000000,1548378000000000000,6520.0,6630.0,6510.0,6600.0,72350,163222,175559
