datetime,datetime_nano,KQ.m@SHFE.al.open,KQ.m@SHFE.al.high,KQ.m@SHFE.al.low,KQ.m@SHFE.al.close,KQ.m@SHFE.al.volume,KQ.m@SHFE.al.open_oi,KQ.m@SHFE.al.close_oi
2019-01-02 09:00:00.000000000,1546390800000000000,13540.0,13565.0,13435.0,13475.0,26688,104526,106749
2019-01-02 10:00:00.000000000,1546394400000000000,13475.0,13475.0,13385.0,13425.0,19401,106749,107836
2019-01-02 11:00:00.000000000,1546398000000000000,13425.0,13425.0,13400.0,13405.0,5961,107836,107055
2019-01-02 13:00:00.000000000,1546405200000000000,13405.0,13415.0,13390.0,13400.0,8428,107055,106709
2019-01-02 14:00:00.000000000,1546408800000000000,13400.0,13430.0,13390.0,13395.0,12490,106709,105872
2019-01-02 21:00:00.000000000,1546434000000000000,13345.0,13405.0,13335.0,13380.0,11449,105872,105905
2019-01-02 22:00:00.000000000,1546437600000000000,13380.0,13405.0,13375.0,13380.0,4519,105905,105982
2019-01-02 23:00:00.000000000,1546441200000000000,13380.0,13425.0,13365.0,13415.0,5794,105982,105598
2019-01-03 00:00:00.000000000,1546444800000000000,13415.0,13415.0,13315.0,13375.0,6131,105598,105877
2019-01-03 09:00:00.000000000,1546477200000000000,13350.0,13355.0,13285.0,13355.0,15162,105877,106237
2019-01-03 10:00:00.000000000,1546480800000000000,13355.0,13365.0,13335.0,13355.0,8846,106237,103878
2019-01-03 11:00:00.000000000,1546484400000000000,13355.0,13360.0,13330.0,13350.0,4910,103878,102906
2019-01-03 13:00:00.000000000,1546491600000000000,13350.0,13350.0,13330.0,13345.0,2782,102906,103209
2019-01-03 14:00:00.000000000,1546495200000000000,13345.0,13345.0,13285.0,13295.0,9098,103209,103280
2019-01-03 21:00:00.000000000,1546520400000000000,13345.0,13355.0,13320.0,13340.0,13525,103280,100804
2019-01-03 22:00:00.000000000,1546524000000000000,13340.0,13340.0,13290.0,13300.0,5646,100804,100883
2019-01-03 23:00:00.000000000,1546527600000000000,13300.0,13315.0,13245.0,13290.0,10003,100883,100515
2019-01-04 00:00:00.000000000,1546531200000000000,13290.0,13375.0,13290.0,13345.0,6169,100515,99013
2019-01-04 09:00:00.000000000,1546563600000000000,13360.0,13380.0,13325.0,13360.0,15125,99013,99001
2019-01-04 10:00:00.000000000,1546567200000000000,13360.0,13395.0,13350.0,13380.0,9804,99001,99202
2019-01-04 11:00:00.000000000,1546570800000000000,13380.0,13395.0,13370.0,13385.0,5308,99202,98831
