datetime,datetime_nano,KQ.m@SHFE.cu.open,KQ.m@SHFE.cu.high,KQ.m@SHFE.cu.low,KQ.m@SHFE.cu.close,KQ.m@SHFE.cu.volume,KQ.m@SHFE.cu.open_oi,KQ.m@SHFE.cu.close_oi
2019-01-02 09:00:00.000000000,1546390800000000000,48000.0,48170.0,47940.0,47980.0,18738,75227,72873
2019-01-02 10:00:00.000000000,1546394400000000000,47980.0,47990.0,47830.0,47920.0,11637,72873,72116
2019-01-02 11:00:00.000000000,1546398000000000000,47920.0,47920.0,47810.0,47880.0,6349,72116,72483
2019-01-02 13:00:00.000000000,1546405200000000000,47780.0,47830.0,47720.0,47790.0,7649,72483,72449
2019-01-02 14:00:00.000000000,1546408800000000000,47790.0,47850.0,47670.0,47680.0,11637,72449,71102
2019-01-02 21:00:00.000000000,1546434000000000000,47230.0,47320.0,47040.0,47050.0,25391,71102,71636
2019-01-02 22:00:00.000000000,1546437600000000000,47050.0,47200.0,47000.0,47100.0,12583,71636,72058
2019-01-02 23:00:00.000000000,1546441200000000000,47100.0,47460.0,47020.0,47360.0,16937,72058,71072
2019-01-03 00:00:00.000000000,1546444800000000000,47360.0,47400.0,47120.0,47330.0,6663,71072,70492
2019-01-03 09:00:00.000000000,1546477200000000000,47160.0,47330.0,47120.0,47300.0,16335,70492,69724
2019-01-03 10:00:00.000000000,1546480800000000000,47300.0,47360.0,47270.0,47290.0,7870,69724,69522
2019-01-03 11:00:00.000000000,1546484400000000000,47290.0,47320.0,47240.0,47300.0,3991,69522,69193
2019-01-03 13:00:00.000000000,1546491600000000000,47250.0,47390.0,47230.0,47370.0,7052,69193,68595
2019-01-03 14:00:00.000000000,1546495200000000000,47370.0,47470.0,47290.0,47330.0,9966,68595,67589
2019-01-03 21:00:00.000000000,1546520400000000000,47200.0,47370.0,47140.0,47200.0,17457,67589,94749
2019-01-03 22:00:00.000000000,1546524000000000000,47200.0,47200.0,46690.0,46710.0,28402,94749,102130
