datetime,datetime_nano,KQ.m@SHFE.ni.open,KQ.m@SHFE.ni.high,KQ.m@SHFE.ni.low,KQ.m@SHFE.ni.close,KQ.m@SHFE.ni.volume,KQ.m@SHFE.ni.open_oi,KQ.m@SHFE.ni.close_oi
2019-01-02 09:00:00.000000000,1546390800000000000,87310.0,88380.0,87200.0,87670.0,47708,164022,164934
2019-01-02 10:00:00.000000000,1546394400000000000,87670.0,87710.0,87500.0,87550.0,17749,164934,166103
2019-01-02 11:00:00.000000000,1546398000000000000,87550.0,87600.0,86850.0,86910.0,34028,166103,175577
2019-01-02 13:00:00.000000000,1546405200000000000,86900.0,87040.0,86680.0,86770.0,18164,175577,180045
2019-01-02 14:00:00.000000000,1546408800000000000,86770.0,86890.0,86210.0,86280.0,49023,180045,186493
2019-01-02 21:00:00.000000000,1546434000000000000,86210.0,86550.0,86080.0,86410.0,33902,186493,188660
2019-01-02 22:00:00.000000000,1546437600000000000,86410.0,86790.0,86400.0,86620.0,29353,188660,187109
2019-01-02 23:00:00.000000000,1546441200000000000,86620.0,88260.0,86550.0,87850.0,86415,187109,174425
2019-01-03 00:00:00.000000000,1546444800000000000,87850.0,88580.0,87710.0,88560.0,40920,174425,168627
2019-01-03 09:00:00.000000000,1546477200000000000,88200.0,88400.0,87910.0,88130.0,44859,168627,163980
2019-01-03 10:00:00.000000000,1546480800000000000,88130.0,88330.0,88080.0,88200.0,16405,163980,163137
2019-01-03 11:00:00.000000000,1546484400000000000,88200.0,88300.0,88100.0,88270.0,7791,163137,162832
2019-01-03 13:00:00.000000000,1546491600000000000,88180.0,88270.0,88010.0,88250.0,10117,162832,163074
2019-01-03 14:00:00.000000000,1546495200000000000,88250.0,88450.0,88100.0,88370.0,24203,163074,158703
2019-01-03 21:00:00.000000000,1546520400000000000,88680.0,88980.0,88460.0,88850.0,53389,158703,159288
2019-01-03 22:00:00.000000000,1546524000000000000,88850.0,88920.0,88130.0,88200.0,40381,159288,159351
2019-01-03 23:00:00.000000000,1546527600000000000,88200.0,88360.0,87830.0,88060.0,45874,159351,162206
2019-01-04 00:00:00.000000000,1546531200000000000,88060.0,89610.0,88040.0,89240.0,62865,162206,157214
2019-01-04 09:00:00.000000000,1546563600000000000,89000.0,89050.0,88750.0,88950.0,35414,157214,158086
2019-01-04 10:00:00.000000000,1546567200000000000,88950.0,89100.0,88910.0,89050.0,15325,158086,158875
2019-01-04 11:00:00.000000000,1546570800000000000,89050.0,89280.0,89030.0,89230.0,12269,158875,159495
2019-01-04 13:00:00.000000000,1546578000000000000,89270.0,89600.0,89270.0,89590.0,21514,159495,161975
2019-01-04 14:00:00.000000000,1546581600000000000,89590.0,90030.0,89410.0,89950.0,61749,161975,152356
2019-01-04 21:00:00.000000000,1546606800000000000,90270.0,90620.0,89810.0,90570.0,70883,152356,157796
2019-01-04 22:00:00.000000000,1546610400000000000,90570.0,90800.0,90380.0,90530.0,51273,157796,157775
2019-01-04 23:00:00.000000000,1546614000000000000,90530.0,90980.0,90470.0,90850.0,49463,157775,162273
2019-01-05 00:00:00.000000000,1546617600000000000,90850.0,90990.0,90600.0,90890.0,42231,162273,158302
2019-01-07 09:00:00.000000000,1546822800000000000,90940.0,91100.0,90570.0,90730.0,41227,158302,154631
