datetime,datetime_nano,KQ.m@SHFE.pb.open,KQ.m@SHFE.pb.high,KQ.m@SHFE.pb.low,KQ.m@SHFE.pb.close,KQ.m@SHFE.pb.volume,KQ.m@SHFE.pb.open_oi,KQ.m@SHFE.pb.close_oi
2019-01-02 09:00:00.000000000,1546390800000000000,18060.0,18140.0,18000.0,18035.0,3856,26440,26954
2019-01-02 10:00:00.000000000,1546394400000000000,18035.0,18040.0,17990.0,17995.0,1539,26954,26982
2019-01-02 11:00:00.000000000,1546398000000000000,17995.0,18020.0,17990.0,18010.0,638,26982,26900
2019-01-02 13:00:00.000000000,1546405200000000000,18015.0,18025.0,17990.0,18005.0,858,26900,26984
2019-01-02 14:00:00.000000000,1546408800000000000,18005.0,18015.0,17960.0,18000.0,2926,26984,27048
2019-01-02 21:00:00.000000000,1546434000000000000,17910.0,17925.0,17845.0,17850.0,3964,27048,27497
2019-01-02 22:00:00.000000000,1546437600000000000,17850.0,17885.0,17850.0,17855.0,1133,27497,27467
2019-01-02 23:00:00.000000000,1546441200000000000,17855.0,17890.0,17810.0,17835.0,2320,27467,27699
2019-01-03 00:00:00.000000000,1546444800000000000,17835.0,17845.0,17795.0,17840.0,953,27699,27709
2019-01-03 09:00:00.000000000,1546477200000000000,17840.0,17840.0,17755.0,17790.0,4368,27709,28070
2019-01-03 10:00:00.000000000,1546480800000000000,17790.0,17815.0,17770.0,17815.0,1388,28070,28285
2019-01-03 11:00:00.000000000,1546484400000000000,17815.0,17815.0,17790.0,17810.0,578,28285,28204
2019-01-03 13:00:00.000000000,1546491600000000000,17800.0,17840.0,17785.0,17835.0,1239,28204,28107
2019-01-03 14:00:00.000000000,1546495200000000000,17835.0,17835.0,17760.0,17770.0,2745,28107,28490
2019-01-03 21:00:00.000000000,1546520400000000000,17755.0,17820.0,17715.0,17775.0,2699,28490,28695
2019-01-03 22:00:00.000000000,1546524000000000000,17775.0,17790.0,17725.0,17725.0,2450,28695,28791
2019-01-03 23:00:00.000000000,1546527600000000000,17725.0,17735.0,17590.0,17610.0,3935,28791,29015
2019-01-04 00:00:00.000000000,1546531200000000000,17610.0,17665.0,17605.0,17665.0,1450,29015,28882
2019-01-04 09:00:00.000000000,1546563600000000000,17665.0,17680.0,17570.0,17590.0,3696,28882,29110
2019-01-04 10:00:00.000000000,1546567200000000000,17590.0,17615.0,17520.0,17605.0,3244,29110,29287
2019-01-04 11:00:00.000000000,1546570800000000000,17605.0,17680.0,17600.0,17675.0,1707,29287,29070
2019-01-04 13:00:00.000000000,1546578000000000000,17680.0,17740.0,17675.0,17705.0,1967,29070,28909
2019-01-04 14:00:00.000000000,1546581600000000000,17705.0,17760.0,17680.0,17735.0,2547,28909,28645
2019-01-04 21:00:00.000000000,1546606800000000000,17705.0,17755.0,17595.0,17615.0,4019,28645,29678
2019-01-04 22:00:00.000000000,1546610400000000000,17615.0,17650.0,17585.0,17600.0,2900,29678,29919
2019-01-04 23:00:00.000000000,1546614000000000000,17600.0,17695.0,17600.0,17680.0,1697,29919,29851
2019-01-05 00:00:00.000000000,1546617600000000000,17680.0,17695.0,17650.0,17695.0,1129,29851,29726
2019-01-07 09:00:00.000000000,1546822800000000000,17730.0,17740.0,17570.0,17600.0,4909,29726,30381
2019-01-07 10:00:00.000000000,1546826400000000000,17600.0,17620.0,17570.0,17585.0,1654,30381,30547
2019-01-07 11:00:00.000000000,1546830000000000000,17585.0,17640.0,17585.0,17605.0,935,30547,30354
2019-01-07 13:00:00.000000000,1546837200000000000,17610.0,17615.0,17580.0,17605.0,890,30354,30498
2019-01-07 14:00:00.000000000,1546840800000000000,17605.0,17695.0,17580.0,17670.0,5031,30498,29922
2019-01-07 21:00:00.000000000,1546866000000000000,17640.0,17660.0,17505.0,17520.0,4821,29922,30776
2019-01-07 22:00:00.000000000,1546869600000000000,17520.0,17530.0,17505.0,17530.0,1661,30776,30700
2019-01-07 23:00:00.000000000,1546873200000000000,17530.0,17570.0,17510.0,17560.0,1974,30700,30445
2019-01-08 00:00:00.000000000,1546876800000000000,17560.0,17570.0,17535.0,17545.0,878,30445,30397
2019-01-08 09:00:00.000000000,1546909200000000000,17535.0,17570.0,17520.0,17530.0,2141,30397,30130
2019-01-08 10:00:00.000000000,1546912800000000000,17530.0,17540.0,17510.0,17525.0,2219,30130,29951
2019-01-08 11:00:00.000000000,1546916400000000000,17525.0,17560.0,17520.0,17525.0,813,29951,29779
2019-01-08 13:00:00.000000000,1546923600000000000,17525.0,17535.0,17365.0,17405.0,5579,29779,31266
2019-01-08 14:00:00.000000000,1546927200000000000,17405.0,17450.0,17395.0,17410.0,4388,31266,30669
2019-01-08 21:00:00.000000000,1546952400000000000,17445.0,17550.0,17430.0,17505.0,6546,30669,30282
2019-01-08 22:00:00.000000000,1546956000000000000,17505.0,17530.0,17485.0,17510.0,1274,30282,30377
2019-01-08 23:00:00.000000000,1546959600000000000,17510.0,17510.0,17455.0,17480.0,1337,30377,30464
2019-01-09 00:00:00.000000000,1546963200000000000,17480.0,17510.0,17475.0,17490.0,646,30464,30404
2019-01-09 09:00:00.000000000,1546995600000000000,17505.0,17615.0,17495.0,17585.0,4327,30404,29900
2019-01-09 10:00:00.000000000,1546999200000000000,17585.0,17590.0,17560.0,17590.0,1118,29900,29951
2019-01-09 11:00:00.000000000,1547002800000000000,17590.0,17595.0,17555.0,17595.0,1136,29951,29971
2019-01-09 13:00:00.000000000,1547010000000000000,17590.0,17610.0,17560.0,17585.0,1344,29971,29782
2019-01-09 14:00:00.000000000,1547013600000000000,17585.0,17595.0,17560.0,17570.0,2863,29782,29448
2019-01-09 21:00:00.000000000,1547038800000000000,17520.0,17600.0,17520.0,17570.0,2553,29448,29338
2019-01-09 22:00:00.000000000,1547042400000000000,17570.0,17600.0,17555.0,17595.0,1488,29338,29056
2019-01-09 23:00:00.000000000,1547046000000000000,17595.0,17620.0,17560.0,17560.0,1014,29056,29096
2019-01-10 00:00:00.000000000,1547049600000000000,17560.0,17565.0,17460.0,17465.0,1723,29096,29303
2019-01-10 09:00:00.000000000,1547082000000000000,17465.0,17505.0,17395.0,17430.0,2993,29303,29316
2019-01-10 10:00:00.000000000,1547085600000000000,17430.0,17455.0,17395.0,17445.0,1583,29316,29330
2019-01-10 11:00:00.000000000,1547089200000000000,17445.0,17475.0,17420.0,17430.0,1081,29330,29435
2019-01-10 13:00:00.000000000,1547096400000000000,17460.0,17460.0,17425.0,17440.0,850,29435,29386
2019-01-10 14:00:00.000000000,1547100000000000000,17440.0,17470.0,17410.0,17450.0,2691,29386,28977
2019-01-10 21:00:00.000000000,1547125200000000000,17485.0,17520.0,17275.0,17295.0,4930,28977,29432
2019-01-10 22:00:00.000000000,1547128800000000000,17295.0,17350.0,17275.0,17330.0,3047,29432,29479
2019-01-10 23:00:00.000000000,1547132400000000000,17330.0,17360.0,17315.0,17350.0,1103,29479,29512
2019-01-11 00:00:00.000000000,1547136000000000000,17350.0,17500.0,17345.0,17495.0,3480,29512,28597
2019-01-11 09:00:00.000000000,1547168400000000000,17495.0,17570.0,17435.0,17555.0,3655,28597,28053
2019-01-11 10:00:00.000000000,1547172000000000000,17555.0,17570.0,17515.0,17540.0,1576,28053,27747
2019-01-11 11:00:00.000000000,1547175600000000000,17540.0,17595.0,17540.0,17580.0,1415,27747,27470
2019-01-11 13:00:00.000000000,1547182800000000000,17580.0,17590.0,17540.0,17555.0,1589,27470,27685
2019-01-11 14:00:00.000000000,1547186400000000000,17555.0,17575.0,17480.0,17485.0,2534,27685,27622
2019-01-11 21:00:00.000000000,1547211600000000000,17460.0,17500.0,17420.0,17495.0,2595,27622,27700
2019-01-11 22:00:00.000000000,1547215200000000000,17495.0,17500.0,17405.0,17430.0,1930,27700,27643
2019-01-11 23:00:00.000000000,1547218800000000000,17430.0,17460.0,17405.0,17440.0,1089,27643,27620
2019-01-12 00:00:00.000000000,1547222400000000000,17440.0,17485.0,17420.0,17460.0,791,27620,27402
2019-01-14 09:00:00.000000000,1547427600000000000,17465.0,17475.0,17335.0,17345.0,4670,27402,27082
2019-01-14 10:00:00.000000000,1547431200000000000,17345.0,17445.0,17335.0,17440.0,2655,27082,26775
2019-01-14 11:00:00.000000000,1547434800000000000,17440.0,17470.0,17420.0,17450.0,1860,26775,26544
2019-01-14 13:00:00.000000000,1547442000000000000,17440.0,17445.0,17410.0,17435.0,1014,26544,26566
2019-01-14 14:00:00.000000000,1547445600000000000,17435.0,17470.0,17415.0,17470.0,1811,26566,26523
2019-01-14 21:00:00.000000000,1547470800000000000,17400.0,17510.0,17345.0,17480.0,3629,26523,26530
2019-01-14 22:00:00.000000000,1547474400000000000,17480.0,17495.0,17460.0,17485.0,895,26530,26371
2019-01-14 23:00:00.000000000,1547478000000000000,17485.0,17490.0,17460.0,17460.0,493,26371,26434
2019-01-15 00:00:00.000000000,1547481600000000000,17460.0,17495.0,17460.0,17475.0,398,26434,26347
2019-01-15 09:00:00.000000000,1547514000000000000,17475.0,17480.0,17400.0,17420.0,1978,26347,26225
2019-01-15 10:00:00.000000000,1547517600000000000,17420.0,17475.0,17420.0,17455.0,1356,26225,26163
2019-01-15 11:00:00.000000000,1547521200000000000,17455.0,17520.0,17455.0,17510.0,1137,26163,26077
2019-01-15 13:00:00.000000000,1547528400000000000,17510.0,17525.0,17465.0,17475.0,1545,26077,25850
2019-01-15 14:00:00.000000000,1547532000000000000,17475.0,17570.0,17475.0,17555.0,2191,25850,25697
2019-01-15 21:00:00.000000000,1547557200000000000,17515.0,17530.0,17475.0,17510.0,2088,25697,25919
2019-01-15 22:00:00.000000000,1547560800000000000,17510.0,17510.0,17440.0,17475.0,1207,25919,25967
2019-01-15 23:00:00.000000000,1547564400000000000,17475.0,17545.0,17470.0,17515.0,1146,25967,25918
