datetime,datetime_nano,KQ.m@SHFE.ru.open,KQ.m@SHFE.ru.high,KQ.m@SHFE.ru.low,KQ.m@SHFE.ru.close,KQ.m@SHFE.ru.volume,KQ.m@SHFE.ru.open_oi,KQ.m@SHFE.ru.close_oi
2019-01-02 09:00:00.000000000,1546390800000000000,11295.0,11340.0,11210.0,11295.0,31404,161236,162947
2019-01-02 10:00:00.000000000,1546394400000000000,11295.0,11300.0,11260.0,11275.0,9466,162947,163414
2019-01-02 11:00:00.000000000,1546398000000000000,11275.0,11290.0,11255.0,11280.0,4719,163414,163541
2019-01-02 13:00:00.000000000,1546405200000000000,11270.0,11275.0,11240.0,11255.0,8251,163541,164157
2019-01-02 14:00:00.000000000,1546408800000000000,11255.0,11315.0,11245.0,11290.0,15948,164157,163580
2019-01-02 21:00:00.000000000,1546434000000000000,11295.0,11385.0,11285.0,11310.0,39916,163580,165292
2019-01-02 22:00:00.000000000,1546437600000000000,11310.0,11350.0,11310.0,11330.0,13309,165292,164164
2019-01-03 09:00:00.000000000,1546477200000000000,11350.0,11485.0,11350.0,11440.0,52630,164164,167635
2019-01-03 10:00:00.000000000,1546480800000000000,11440.0,11470.0,11405.0,11440.0,14751,167635,167655
2019-01-03 11:00:00.000000000,1546484400000000000,11440.0,11465.0,11420.0,11460.0,7420,167655,168553
2019-01-03 13:00:00.000000000,1546491600000000000,11460.0,11460.0,11425.0,11455.0,7448,168553,169108
2019-01-03 14:00:00.000000000,1546495200000000000,11455.0,11470.0,11425.0,11450.0,19882,169108,167975
2019-01-03 21:00:00.000000000,1546520400000000000,11490.0,11835.0,11480.0,11800.0,118030,167975,180479
2019-01-03 22:00:00.000000000,1546524000000000000,11800.0,11815.0,11695.0,11740.0,48539,180479,174683
2019-01-04 09:00:00.000000000,1546563600000000000,11750.0,11790.0,11730.0,11765.0,27563,174683,176617
2019-01-04 10:00:00.000000000,1546567200000000000,11765.0,11795.0,11740.0,11790.0,14682,176617,177741
2019-01-04 11:00:00.000000000,1546570800000000000,11790.0,11810.0,11780.0,11790.0,13168,177741,178741
2019-01-04 13:00:00.000000000,1546578000000000000,11790.0,11825.0,11740.0,11760.0,19385,178741,177063
2019-01-04 14:00:00.000000000,1546581600000000000,11760.0,11850.0,11725.0,11845.0,31392,177063,175026
2019-01-04 21:00:00.000000000,1546606800000000000,11980.0,11980.0,11770.0,11790.0,64341,175026,176087
2019-01-04 22:00:00.000000000,1546610400000000000,11790.0,11820.0,11740.0,11750.0,21103,176087,173869
2019-01-07 09:00:00.000000000,1546822800000000000,11765.0,11780.0,11640.0,11680.0,58559,173869,175365
2019-01-07 10:00:00.000000000,1546826400000000000,11680.0,11705.0,11675.0,11685.0,9064,175365,175919
2019-01-07 11:00:00.000000000,1546830000000000000,11685.0,11690.0,11655.0,11680.0,7011,175919,176110
2019-01-07 13:00:00.000000000,1546837200000000000,11680.0,11695.0,11660.0,11680.0,7574,176110,176989
2019-01-07 14:00:00.000000000,1546840800000000000,11680.0,11710.0,11650.0,11675.0,21724,176989,175684
2019-01-07 21:00:00.000000000,1546866000000000000,11680.0,11735.0,11645.0,11680.0,29872,175684,178578
2019-01-07 22:00:00.000000000,1546869600000000000,11680.0,11685.0,11605.0,11625.0,28577,178578,178198
2019-01-08 09:00:00.000000000,1546909200000000000,11650.0,11715.0,11640.0,11690.0,26369,178198,177599
2019-01-08 10:00:00.000000000,1546912800000000000,11690.0,11730.0,11680.0,11720.0,13249,177599,178184
2019-01-08 11:00:00.000000000,1546916400000000000,11720.0,11725.0,11680.0,11710.0,8066,178184,178486
2019-01-08 13:00:00.000000000,1546923600000000000,11725.0,11725.0,11640.0,11660.0,17091,178486,178845
2019-01-08 14:00:00.000000000,1546927200000000000,11660.0,11725.0,11650.0,11675.0,23748,178845,177438
2019-01-08 21:00:00.000000000,1546952400000000000,11695.0,11755.0,11675.0,11715.0,33818,177438,180070
2019-01-08 22:00:00.000000000,1546956000000000000,11715.0,11725.0,11695.0,11715.0,11673,180070,178638
2019-01-09 09:00:00.000000000,1546995600000000000,11755.0,11840.0,11740.0,11785.0,50534,178638,179594
2019-01-09 10:00:00.000000000,1546999200000000000,11785.0,11815.0,11755.0,11800.0,14522,179594,179874
2019-01-09 11:00:00.000000000,1547002800000000000,11800.0,11815.0,11775.0,11795.0,8062,179874,180156
2019-01-09 13:00:00.000000000,1547010000000000000,11800.0,11810.0,11770.0,11780.0,9902,180156,180400
2019-01-09 14:00:00.000000000,1547013600000000000,11780.0,11810.0,11740.0,11785.0,26940,180400,177716
2019-01-09 21:00:00.000000000,1547038800000000000,11760.0,11765.0,11650.0,11685.0,40417,177716,180159
2019-01-09 22:00:00.000000000,1547042400000000000,11685.0,11700.0,11675.0,11695.0,10658,180159,179062
2019-01-10 09:00:00.000000000,1547082000000000000,11695.0,11695.0,11610.0,11660.0,29852,179062,179319
2019-01-10 10:00:00.000000000,1547085600000000000,11660.0,11705.0,11650.0,11680.0,13461,179319,179170
2019-01-10 11:00:00.000000000,1547089200000000000,11680.0,11695.0,11665.0,11685.0,5299,179170,178788
2019-01-10 13:00:00.000000000,1547096400000000000,11685.0,11690.0,11665.0,11685.0,4906,178788,179383
2019-01-10 14:00:00.000000000,1547100000000000000,11685.0,11690.0,11635.0,11640.0,17629,179383,179291
2019-01-10 21:00:00.000000000,1547125200000000000,11565.0,11665.0,11530.0,11635.0,41890,179291,181145
2019-01-10 22:00:00.000000000,1547128800000000000,11635.0,11655.0,11580.0,11585.0,19301,181145,178634
2019-01-11 09:00:00.000000000,1547168400000000000,11620.0,11700.0,11620.0,11690.0,30818,178634,180164
2019-01-11 10:00:00.000000000,1547172000000000000,11690.0,11695.0,11650.0,11670.0,7829,180164,180271
2019-01-11 11:00:00.000000000,1547175600000000000,11670.0,11720.0,11660.0,11700.0,14037,180271,180067
2019-01-11 13:00:00.000000000,1547182800000000000,11705.0,11720.0,11655.0,11670.0,12089,180067,179935
2019-01-11 14:00:00.000000000,1547186400000000000,11670.0,11670.0,11590.0,11640.0,30607,179935,179113
2019-01-11 21:00:00.000000000,1547211600000000000,11605.0,11660.0,11580.0,11635.0,21047,179113,180470
2019-01-11 22:00:00.000000000,1547215200000000000,11635.0,11655.0,11600.0,11610.0,14829,180470,179036
2019-01-14 09:00:00.000000000,1547427600000000000,11620.0,11690.0,11460.0,11470.0,66282,179036,181664
2019-01-14 10:00:00.000000000,1547431200000000000,11470.0,11530.0,11470.0,11505.0,16218,181664,181561
2019-01-14 11:00:00.000000000,1547434800000000000,11505.0,11520.0,11470.0,11505.0,9955,181561,181799
2019-01-14 13:00:00.000000000,1547442000000000000,11510.0,11520.0,11490.0,11515.0,6604,181799,182189
2019-01-14 14:00:00.000000000,1547445600000000000,11515.0,11530.0,11495.0,11505.0,17135,182189,179326
2019-01-14 21:00:00.000000000,1547470800000000000,11540.0,11545.0,11460.0,11505.0,30492,179326,180272
2019-01-14 22:00:00.000000000,1547474400000000000,11505.0,11520.0,11480.0,11485.0,11177,180272,180329
2019-01-15 09:00:00.000000000,1547514000000000000,11485.0,11545.0,11480.0,11510.0,23164,180329,180147
2019-01-15 10:00:00.000000000,1547517600000000000,11510.0,11565.0,11500.0,11540.0,18043,180147,180948
2019-01-15 11:00:00.000000000,1547521200000000000,11540.0,11565.0,11535.0,11560.0,4645,180948,180793
2019-01-15 13:00:00.000000000,1547528400000000000,11565.0,11570.0,11535.0,11565.0,8042,180793,180998
2019-01-15 14:00:00.000000000,1547532000000000000,11565.0,11570.0,11505.0,11505.0,22881,180998,178970
2019-01-15 21:00:00.000000000,1547557200000000000,11495.0,11590.0,11480.0,11570.0,30115,178970,181537
2019-01-15 22:00:00.000000000,1547560800000000000,11570.0,11625.0,11565.0,11580.0,22449,181537,180185
2019-01-16 09:00:00.000000000,1547600400000000000,11585.0,11715.0,11575.0,11695.0,44369,180185,182413
2019-01-16 10:00:00.000000000,1547604000000000000,11695.0,11695.0,11660.0,11680.0,13296,182413,181978
2019-01-16 11:00:00.000000000,1547607600000000000,11680.0,11685.0,11660.0,11670.0,6781,181978,181825
2019-01-16 13:00:00.000000000,1547614800000000000,11675.0,11690.0,11635.0,11650.0,11556,181825,181077
2019-01-16 14:00:00.000000000,1547618400000000000,11650.0,11680.0,11630.0,11640.0,18958,181077,180026
2019-01-16 21:00:00.000000000,1547643600000000000,11605.0,11655.0,11605.0,11645.0,14225,180026,180696
2019-01-16 22:00:00.000000000,1547647200000000000,11645.0,11655.0,11615.0,11640.0,9571,180696,179723
2019-01-17 09:00:00.000000000,1547686800000000000,11660.0,11690.0,11640.0,11645.0,21351,179723,181290
2019-01-17 10:00:00.000000000,1547690400000000000,11645.0,11650.0,11600.0,11620.0,11564,181290,181628
2019-01-17 11:00:00.000000000,1547694000000000000,11620.0,11645.0,11605.0,11635.0,6157,181628,181547
2019-01-17 13:00:00.000000000,1547701200000000000,11640.0,11655.0,11620.0,11650.0,6861,181547,181697
2019-01-17 14:00:00.000000000,1547704800000000000,11650.0,11650.0,11570.0,11575.0,20820,181697,180120
2019-01-17 21:00:00.000000000,1547730000000000000,11540.0,11670.0,11520.0,11655.0,38638,180120,181169
2019-01-17 22:00:00.000000000,1547733600000000000,11655.0,11690.0,11645.0,11655.0,16747,181169,180297
2019-01-18 09:00:00.000000000,1547773200000000000,11685.0,11730.0,11670.0,11705.0,29500,180297,181575
2019-01-18 10:00:00.000000000,1547776800000000000,11705.0,11720.0,11670.0,11690.0,11166,181575,181235
2019-01-18 11:00:00.000000000,1547780400000000000,11690.0,11710.0,11680.0,11705.0,5479,181235,181482
2019-01-18 13:00:00.000000000,1547787600000000000,11700.0,11770.0,11690.0,11725.0,20097,181482,181515
2019-01-18 14:00:00.000000000,1547791200000000000,11725.0,11725.0,11625.0,11660.0,41231,181515,178553
2019-01-18 21:00:00.000000000,1547816400000000000,11665.0,11730.0,11665.0,11720.0,26243,178553,180522
2019-01-18 22:00:00.000000000,1547820000000000000,11720.0,11750.0,11670.0,11700.0,25529,180522,179152
2019-01-21 09:00:00.000000000,1548032400000000000,11790.0,11915.0,11755.0,11870.0,72658,179152,184766
2019-01-21 10:00:00.000000000,1548036000000000000,11870.0,11970.0,11850.0,11925.0,31396,184766,186650
2019-01-21 11:00:00.000000000,1548039600000000000,11925.0,11945.0,11840.0,11865.0,20096,186650,185142
2019-01-21 13:00:00.000000000,1548046800000000000,11875.0,11895.0,11830.0,11865.0,14993,185142,185483
2019-01-21 14:00:00.000000000,1548050400000000000,11865.0,11920.0,11815.0,11845.0,25470,185483,182916
2019-01-21 21:00:00.000000000,1548075600000000000,11850.0,11885.0,11820.0,11835.0,24384,182916,184137
2019-01-21 22:00:00.000000000,1548079200000000000,11835.0,11885.0,11805.0,11850.0,20594,184137,182828
2019-01-22 09:00:00.000000000,1548118800000000000,11845.0,11870.0,11750.0,11770.0,30086,182828,182852
2019-01-22 10:00:00.000000000,1548122400000000000,11770.0,11785.0,11560.0,11630.0,66260,182852,181621
2019-01-22 11:00:00.000000000,1548126000000000000,11630.0,11665.0,11610.0,11625.0,13994,181621,180745
2019-01-22 13:00:00.000000000,1548133200000000000,11610.0,11625.0,11590.0,11600.0,12758,180745,181038
2019-01-22 14:00:00.000000000,1548136800000000000,11600.0,11610.0,11550.0,11580.0,26516,181038,179287
2019-01-22 21:00:00.000000000,1548162000000000000,11575.0,11620.0,11570.0,11595.0,19200,179287,180481
2019-01-22 22:00:00.000000000,1548165600000000000,11595.0,11615.0,11580.0,11585.0,12781,180481,180208
2019-01-23 09:00:00.000000000,1548205200000000000,11570.0,11625.0,11555.0,11615.0,17353,180208,182676
2019-01-23 10:00:00.000000000,1548208800000000000,11615.0,11615.0,11585.0,11600.0,8013,182676,183024
