datetime,datetime_nano,KQ.m@SHFE.sn.open,KQ.m@SHFE.sn.high,KQ.m@SHFE.sn.low,KQ.m@SHFE.sn.close,KQ.m@SHFE.sn.volume,KQ.m@SHFE.sn.open_oi,KQ.m@SHFE.sn.close_oi
2019-01-02 09:00:00.000000000,1546390800000000000,143390.0,143770.0,142510.0,143550.0,2626,17969,18090
2019-01-02 10:00:00.000000000,1546394400000000000,143550.0,143720.0,143240.0,143280.0,953,18090,17995
2019-01-02 11:00:00.000000000,1546398000000000000,143280.0,143770.0,143280.0,143700.0,565,17995,17984
2019-01-02 13:00:00.000000000,1546405200000000000,143650.0,143950.0,143430.0,143770.0,860,17984,18017
2019-01-02 14:00:00.000000000,1546408800000000000,143770.0,144100.0,143740.0,143870.0,1783,18017,17827
2019-01-02 21:00:00.000000000,1546434000000000000,143290.0,143740.0,143010.0,143590.0,1384,17827,17980
2019-01-02 22:00:00.000000000,1546437600000000000,143590.0,143790.0,143590.0,143730.0,619,17980,17929
2019-01-02 23:00:00.000000000,1546441200000000000,143730.0,144290.0,143650.0,143970.0,1411,17929,17896
2019-01-03 00:00:00.000000000,1546444800000000000,143970.0,144170.0,143920.0,144100.0,418,17896,17874
2019-01-03 09:00:00.000000000,1546477200000000000,144000.0,144040.0,143560.0,143710.0,1455,17874,18046
2019-01-03 10:00:00.000000000,1546480800000000000,143710.0,143800.0,143480.0,143650.0,1043,18046,18130
2019-01-03 11:00:00.000000000,1546484400000000000,143650.0,143720.0,143510.0,143560.0,344,18130,18121
2019-01-03 13:00:00.000000000,1546491600000000000,143560.0,144000.0,143520.0,143850.0,723,18121,18178
2019-01-03 14:00:00.000000000,1546495200000000000,143850.0,144220.0,143830.0,144200.0,1487,18178,17962
2019-01-03 21:00:00.000000000,1546520400000000000,144180.0,144870.0,143860.0,144820.0,2366,17962,17962
2019-01-03 22:00:00.000000000,1546524000000000000,144820.0,144860.0,144320.0,144400.0,1213,17962,18070
2019-01-03 23:00:00.000000000,1546527600000000000,144400.0,144450.0,143900.0,144060.0,993,18070,18130
2019-01-04 00:00:00.000000000,1546531200000000000,144060.0,144400.0,144060.0,144290.0,620,18130,18088
2019-01-04 09:00:00.000000000,1546563600000000000,144360.0,144360.0,143620.0,143990.0,2256,18088,18356
2019-01-04 10:00:00.000000000,1546567200000000000,143990.0,144080.0,143530.0,143640.0,1058,18356,18524
2019-01-04 11:00:00.000000000,1546570800000000000,143640.0,144400.0,143640.0,144390.0,807,18524,18480
2019-01-04 13:00:00.000000000,1546578000000000000,144360.0,144550.0,144330.0,144500.0,832,18480,18449
2019-01-04 14:00:00.000000000,1546581600000000000,144500.0,144580.0,144150.0,144310.0,1293,18449,18261
2019-01-04 21:00:00.000000000,1546606800000000000,144670.0,144670.0,144240.0,144410.0,1175,18261,18346
2019-01-04 22:00:00.000000000,1546610400000000000,144410.0,144550.0,144350.0,144430.0,760,18346,18370
2019-01-04 23:00:00.000000000,1546614000000000000,144430.0,145200.0,144430.0,145140.0,1901,18370,18391
2019-01-05 00:00:00.000000000,1546617600000000000,145140.0,145260.0,144830.0,145070.0,832,18391,18248
2019-01-07 09:00:00.000000000,1546822800000000000,145140.0,145220.0,144550.0,144680.0,1410,18248,18419
