datetime,datetime_nano,KQ.m@SHFE.ss.open,KQ.m@SHFE.ss.high,KQ.m@SHFE.ss.low,KQ.m@SHFE.ss.close,KQ.m@SHFE.ss.volume,KQ.m@SHFE.ss.open_oi,KQ.m@SHFE.ss.close_oi
2019-09-25 09:00:00.000000000,1569373200000000000,15535.0,15760.0,15280.0,15610.0,59307,0,12517
2019-09-25 10:00:00.000000000,1569376800000000000,15610.0,15665.0,15480.0,15605.0,16500,12517,12443
2019-09-25 11:00:00.000000000,1569380400000000000,15605.0,15640.0,15530.0,15550.0,6669,12443,12004
2019-09-25 13:00:00.000000000,1569387600000000000,15580.0,15610.0,15565.0,15585.0,2624,12004,12037
2019-09-25 14:00:00.000000000,1569391200000000000,15585.0,15630.0,15505.0,15575.0,8130,12037,10679
2019-09-25 21:00:00.000000000,1569416400000000000,15600.0,15670.0,15550.0,15630.0,9538,10679,11202
2019-09-25 22:00:00.000000000,1569420000000000000,15630.0,15745.0,15610.0,15700.0,5709,11202,10991
2019-09-25 23:00:00.000000000,1569423600000000000,15700.0,15935.0,15685.0,15815.0,14957,10991,12491
2019-09-26 00:00:00.000000000,1569427200000000000,15815.0,15850.0,15760.0,15790.0,4190,12491,11898
2019-09-26 09:00:00.000000000,1569459600000000000,15785.0,15840.0,15615.0,15650.0,10109,11898,10527
2019-09-26 10:00:00.000000000,1569463200000000000,15650.0,15720.0,15615.0,15700.0,2508,10527,10293
2019-09-26 11:00:00.000000000,1569466800000000000,15700.0,15715.0,15645.0,15655.0,1870,10293,10138
2019-09-26 13:00:00.000000000,1569474000000000000,15660.0,15695.0,15630.0,15670.0,1721,10138,10148
2019-09-26 14:00:00.000000000,1569477600000000000,15670.0,15710.0,15650.0,15705.0,2762,10148,9684
2019-09-26 21:00:00.000000000,1569502800000000000,15740.0,15800.0,15665.0,15690.0,2906,9684,9377
2019-09-26 22:00:00.000000000,1569506400000000000,15690.0,15715.0,15650.0,15675.0,1558,9377,9196
2019-09-26 23:00:00.000000000,1569510000000000000,15675.0,15720.0,15640.0,15665.0,2069,9196,9144
2019-09-27 00:00:00.000000000,1569513600000000000,15665.0,15690.0,15650.0,15690.0,423,9144,9038
2019-09-27 09:00:00.000000000,1569546000000000000,15690.0,15695.0,15580.0,15615.0,2632,9038,8800
2019-09-27 10:00:00.000000000,1569549600000000000,15615.0,15685.0,15610.0,15665.0,1069,8800,8423
2019-09-27 11:00:00.000000000,1569553200000000000,15665.0,15705.0,15665.0,15680.0,728,8423,8271
2019-09-27 13:00:00.000000000,1569560400000000000,15685.0,15700.0,15650.0,15685.0,635,8271,8252
2019-09-27 14:00:00.000000000,1569564000000000000,15685.0,15755.0,15670.0,15725.0,2147,8252,7952
2019-09-27 21:00:00.000000000,1569589200000000000,15705.0,15735.0,15665.0,15695.0,1316,7952,7934
2019-09-27 22:00:00.000000000,1569592800000000000,15695.0,15790.0,15685.0,15740.0,1650,7934,8122
2019-09-27 23:00:00.000000000,1569596400000000000,15740.0,15740.0,15690.0,15700.0,909,8122,7931
2019-09-28 00:00:00.000000000,1569600000000000000,15700.0,15705.0,15670.0,15685.0,327,7931,7824
2019-09-30 09:00:00.000000000,1569805200000000000,15695.0,15705.0,15635.0,15675.0,1778,7824,7791
