datetime,datetime_nano,KQ.m@SHFE.zn.open,KQ.m@SHFE.zn.high,KQ.m@SHFE.zn.low,KQ.m@SHFE.zn.close,KQ.m@SHFE.zn.volume,KQ.m@SHFE.zn.open_oi,KQ.m@SHFE.zn.close_oi
2019-01-02 09:00:00.000000000,1546390800000000000,20810.0,20815.0,20685.0,20750.0,38783,83857,82096
2019-01-02 10:00:00.000000000,1546394400000000000,20750.0,20755.0,20620.0,20645.0,25995,82096,81565
2019-01-02 11:00:00.000000000,1546398000000000000,20645.0,20655.0,20535.0,20540.0,22052,81565,81422
2019-01-02 13:00:00.000000000,1546405200000000000,20545.0,20580.0,20510.0,20535.0,18512,81422,81350
2019-01-02 14:00:00.000000000,1546408800000000000,20535.0,20555.0,20410.0,20440.0,46626,81350,82283
2019-01-02 21:00:00.000000000,1546434000000000000,20265.0,20380.0,20220.0,20310.0,54214,82283,81666
2019-01-02 22:00:00.000000000,1546437600000000000,20310.0,20395.0,20295.0,20350.0,38285,81666,81491
2019-01-02 23:00:00.000000000,1546441200000000000,20350.0,20545.0,20330.0,20405.0,46163,81491,80782
2019-01-03 00:00:00.000000000,1546444800000000000,20405.0,20470.0,20355.0,20410.0,23926,80782,79843
2019-01-03 09:00:00.000000000,1546477200000000000,20365.0,20455.0,20330.0,20435.0,38891,79843,79484
2019-01-03 10:00:00.000000000,1546480800000000000,20435.0,20460.0,20335.0,20370.0,26956,79484,80673
2019-01-03 11:00:00.000000000,1546484400000000000,20370.0,20370.0,20255.0,20340.0,23688,80673,80919
2019-01-03 13:00:00.000000000,1546491600000000000,20305.0,20405.0,20295.0,20400.0,16806,80919,80969
2019-01-03 14:00:00.000000000,1546495200000000000,20400.0,20425.0,20290.0,20325.0,31656,80969,78279
2019-01-03 21:00:00.000000000,1546520400000000000,20350.0,20450.0,20320.0,20365.0,49773,78279,79981
2019-01-03 22:00:00.000000000,1546524000000000000,20365.0,20370.0,20050.0,20055.0,67159,79981,83928
2019-01-03 23:00:00.000000000,1546527600000000000,20055.0,20085.0,19965.0,20025.0,49700,83928,82790
2019-01-04 00:00:00.000000000,1546531200000000000,20025.0,20340.0,20020.0,20285.0,39701,82790,78502
2019-01-04 09:00:00.000000000,1546563600000000000,20305.0,20305.0,20195.0,20280.0,43237,78502,77212
2019-01-04 10:00:00.000000000,1546567200000000000,20280.0,20315.0,20220.0,20295.0,22963,77212,77394
2019-01-04 11:00:00.000000000,1546570800000000000,20295.0,20430.0,20290.0,20420.0,26538,77394,77468
2019-01-04 13:00:00.000000000,1546578000000000000,20435.0,20515.0,20350.0,20395.0,24685,77468,75885
